,0
382,state
383,university
384,supplement
385,income
386,teach
387,chess
388,also
389,marry
390,well
391,wife
392,also
393,government
394,employee
395,bring
396,home
397,bacon
398,cooking
399,working
400,home
401,time
402,play
403,lot
404,although
405,play
406,lot
407,year
408,anyway
409,notice
410,last
411,10
412,day
413,rating
414,climb
415,steadily
416,150
417,point
418,compare
419,historical
420,average
421,time
422,limit
423,parameter
424,etc
425,pretty
426,sure
427,play
428,good
429,bad
430,show
431,wife
432,theorize
433,quarentine
434,world
435,people
436,play
437,bad
438,psychological
439,reason
440,promptly
441,posit
442,another
443,explanation
444,quarentine
445,people
446,bad
447,play
448,either
449,new
450,account
451,people
452,n't
453,play
454,much
455,female
456,'re
457,female
458,fide
459,2000
460,rat
461,wcm
462,instead
463,pro
464,chess
465,player
466,hey
467,girl
468,wan
469,na
470,sex
471,call
472,want
473,roam
474,beautiful
475,girl
476,n't
477,likeyou
478,mother
479,want
480,know
481,n't
482,bed
483,like
484,suppose
485,hour
486,ago
487,like
488,much
489,improve
490,chess
491,chronic
492,flatulence
493,eas
494,'m
495,get
496,many
497,date
498,beautiful
499,woman
500,journey
501,polgar
502,sister
503,well
504,know
505,chess
506,communities.well
507,still
508,happen
509,'m
510,still
511,mother
512,'s
513,womb
514,regularly
515,beat
516,six
517,year
518,old
519,...
520,'m
521,47
522,couple
523,year
524,ago
525,match
526,team
527,'s
528,place
529,opponent
530,gentleman
531,60
532,'s
533,demand
534,change
535,board
536,one
537,set
538,n't
539,coordinate
540,would
541,n't
542,able
543,write
544,move
545,put
546,crudely
547,could
548,n't
549,help
550,think
551,``
552,mother
553,god
554,'ll
555,obliterate
556,joke
557,''
558,dangerous
559,assumption
560,still
561,'d
562,never
563,think
564,kid
565,expect
566,anything
567,usually
568,wo
569,n't
570,pretty
571,live
572,democracy
573,constitution
574,say
575,``
576,men
577,woman
578,cat
579,include
580,nylonsock
581,create
582,equal
583,right
584,pretty
585,dead
586,twitch
587,botez
588,regular
589,streamer
590,like
591,get
592,naroditsky
593,nakamura
594,ray
595,robson
596,etc
597,...
598,online
599,play
600,time
601,yes
602,sometimes
603,play
604,example
605,remember
606,see
607,carissa
608,yip
609,asian
610,chick
611,play
612,carissa
613,'s
614,fundraising
615,thing
616,saw
617,elizabeth
618,paehtz
619,others
620,major
621,event
622,inundate
623,rob
624,hess
625,naroditsky
626,coverage
627,alongisde
628,ben
629,finegold
630,talk
631,another
632,event
633,right
634,pretty
635,dead
636,twitch
637,botez
638,regular
639,streamer
640,like
641,get
642,naroditsky
643,nakamura
644,ray
645,robson
646,etc
647,...
648,online
649,play
650,time
651,yes
652,sometimes
653,play
654,example
655,remember
656,see
657,carissa
658,yip
659,asian
660,chick
661,play
662,carissa
663,'s
664,fundraising
665,thing
666,saw
667,elizabeth
668,paehtz
669,others
670,major
671,event
672,inundate
673,rob
674,hess
675,naroditsky
676,coverage
677,alongisde
678,ben
679,finegold
680,talk
681,another
682,event
683,last
684,name
685,.....
686,address
687,.....
688,bank
689,account
690,info
691,.....
692,weather
693,covid
694,positive
695,negative
696,.....
697,house
698,color
699,.....
700,name
701,1st
702,high
703,school
704,girl
705,friend
706,....
707,shoe
708,size
709,.....
710,blood
711,type
712,....
713,trump
714,supporter
715,.....
716,dog
717,lover
718,cat
719,.....
720,'re
721,ever
722,rowing
723,team
724,déjà
725,qu
726,à
727,qg3
728,il
729,dame
730,prend
731,g3
732,et
733,fou
734,prend
735,e1
736,wow
737,good
738,behivor
739,good
740,lady
741,wow
742,good
743,behivor
744,good
745,lady
746,yesterday
747,show
748,game
749,lose
750,wcm
751,however
752,today
753,show
754,game
755,title
756,tuesday
757,opposite
758,beat
759,gm
760,show
761,punish
762,one
763,unambitious
764,line
765,london
766,link
767,video
768,http
769,//www.youtube.com/watch
770,v=otzzcdzg5ji
771,remember
772,play
773,uscf
774,site
775,charge
776,.25/hour
777,play
778,wife
779,happy
780,phone
781,bill
782,remember
783,play
784,uscf
785,site
786,charge
787,.25/hour
788,play
789,wife
790,happy
791,phone
792,bill
793,believe
794,move
795,26
796,though
797,unlike
798,chess
799,master
800,eric
801,hanson
802,able
803,female
804,woman
805,room
806,cope
807,time
808,away
809,female
810,woman
811,wow
812,..
813,female
814,woman
815,wow
816,..
817,person
818,teach
819,chess
820,know
821,active
822,chess.com
823,anymore
824,never
825,find
826,username
827,top
828,ten
829,best
830,female
831,player
832,new
833,zealand
834,look
835,fide
836,rating
837,nz
838,see
839,would
840,start
841,professional
842,chess
843,career
844,look
845,top
846,500
847,guess
848,111
849,...
850,old
851,teacher
852,like
853,``
854,way
855,really
856,''
857,must
858,name
859,exactly
860,common
861,click
862,fide
863,profile
864,saw
865,fide
866,rating
867,2005
868,like
869,way
870,woman
871,'s
872,league
873,expect
874,top
875,10
876,beat
877,blindfold
878,bullet
879,classical
880,rapid
881,never
882,lose
883,actually
884,see
885,release
886,name
887,privacy
888,reason
889,know
890,see
891,amaze
892,accomplish
893,want
894,play
895,game
896,2|1
897,see
898,beat
899,yet
900,cause
901,almost
902,beat
903,game
904,bullet
905,see
906,knight
907,sneak
908,5
909,second
910,clock
911,put
912,queen
913,say
914,``
915,mate
916,''
917,'s
918,right
919,bob
920,keep
921,38
922,million
923,point
924,....
925,trade
926,chance
927,win
928,new
929,car
930,...
931,brand
932,new
933,ford
934,taurus
935,convertible
936,bring
937,good
938,friend
939,chess.com
940,drive
941,chess
942,tournament
943,class
944,style
945,show
946,lady
947,winner
948,winner
949,winner
950,chicken
951,dinner
952,oh
953,i'do
954,n't
955,think
956,resign
957,analyse
958,want
959,new
960,game
961,click
962,plus
963,sign
964,option
965,create
966,new
967,game
968,sorry
969,previous
970,answer
971,check
972,three
973,line
974,mother
975,'s
976,mobile
977,recent
978,fide
979,nations
980,cup
981,blitz
982,super-tournament
983,segregate
984,gender
985,n't
986,make
987,sense
988,woman
989,get
990,play
991,consistently
992,anyway
993,n't
994,good
995,face
996,big
997,variety
998,opponent
999,well
1000,strong
1001,player
1002,wait
1003,blueemu
1004,know
1005,wierd
1006,question
1007,boy
1008,girl
1009,wait
1010,blueemu
1011,know
1012,wierd
1013,question
1014,boy
1015,girl
1016,'s
1017,funny
1018,'ve
1019,exact
1020,opposite
1021,experience
1022,precorona
1023,'d
1024,go
1025,local
1026,watering
1027,hole
1028,'d
1029,usually
1030,take
1031,small
1032,tablet
1033,boot
1034,tactic
1035,trainer
1036,long
1037,'d
1038,chick
1039,almost
1040,fight
1041,among
1042,see
1043,would
1044,get
1045,take
1046,home
1047,``
1048,game
1049,''
1050,let
1051,'s
1052,face
1053,chess
1054,aphrodisiac
1055,...
1056,haha
1057,baddgono
1058,'m
1059,sense
1060,sarcasm
1061,funny
1062,😁
1063,yes
1064,find
1065,interest
1066,chess
1067,n't
1068,exactly
1069,get
1070,lady
1071,weak
1072,knee
1073,😁
1074,sapiosexual
1075,girl
1076,majority
1077,drmrboss
1078,miss
1079,....
1080,although
1081,might
1082,entirely
1083,identify
1084,gal
1085,find
1086,female
1087,chess
1088,player
1089,consider
1090,attractive
1091,female
1092,love
1093,player
1094,stroke
1095,queen
1096,move
1097,way
1098,want
1099,hello
1100,guy
1101,girl
1102,issue
1103,would
1104,like
1105,get
1106,feedback
1107,post
1108,first
1109,time
1110,play
1111,chess
1112,since
1113,february
1114,year
1115,enjoy
1116,challenge
1117,try
1118,improve
1119,rating
1120,1000-1200
1121,fluctuates
1122,bring
1123,issue
1124,current
1125,high
1126,rat
1127,female
1128,chess
1129,player
1130,yifan
1131,hou
1132,2658
1133,84
1134,top
1135,100
1136,standard
1137,chess
1138,maybe
1139,could
1140,female
1141,interested
1142,chess
1143,much
1144,male
1145,second
1146,reason
1147,think
1148,could
1149,female
1150,support
1151,male
1152,still
1153,think
1154,get
1155,good
1156,20th
1157,century
1158,guess
1159,woman
1160,play
1161,chess
1162,popularity
1163,maybe
1164,maybe
1165,men
1166,interesting
1167,tend
1168,naturally
1169,logical
1170,least
1171,opinion
1172,female
1173,emotional
1174,even
1175,noticable
1176,work
1177,men
1178,female
1179,participate
1180,another
1181,reason
1182,could
1183,men
1184,like
1185,strategical
1186,game
1187,etc
1188,...
1189,really
1190,know
1191,maybe
1192,change
1193,next
1194,10-20
1195,year
1196,look
1197,fide
1198,website
1199,lot
1200,girl
1201,play
1202,chess
1203,believe
1204,judith
1205,polgar
1206,rank
1207,number
1208,8
1209,player
1210,world
1211,one
1212,point
1213,father
1214,'s
1215,experiment
1216,prove
1217,female
1218,capable
1219,top
1220,ten
1221,chess
1222,player
1223,list
1224,raise
1225,competitive
1226,chess
1227,mind
1228,believe
1229,judith
1230,polgar
1231,rank
1232,number
1233,8
1234,player
1235,world
1236,one
1237,point
1238,father
1239,'s
1240,experiment
1241,prove
1242,female
1243,capable
1244,top
1245,ten
1246,chess
1247,player
1248,list
1249,raise
1250,competitive
1251,chess
1252,mind
1253,maybe
1254,men
1255,interesting
1256,tend
1257,naturally
1258,logical
1259,least
1260,opinion
1261,female
1262,emotional
1263,even
1264,noticable
1265,work
1266,men
1267,female
1268,participate
1269,another
1270,reason
1271,could
1272,men
1273,like
1274,strategical
1275,game
1276,etc
1277,...
1278,really
1279,know
1280,maybe
1281,change
1282,next
1283,10-20
1284,year
1285,look
1286,fide
1287,website
1288,lot
1289,girl
1290,play
1291,chess
1292,woman
1293,girl
1294,play
1295,chess
1296,least
1297,one
1298,know
1299,play
1300,chess
1301,enjoy
1302,average
1303,playing
1304,strength
1305,female
1306,player
1307,male
1308,counterpart
1309,since
1310,relatively
1311,speak
1312,'s
1313,natural
1314,high
1315,rank
1316,small
1317,subset
1318,player
1319,begin
1320,proportionately
1321,woman
1322,believe
1323,judith
1324,polgar
1325,rank
1326,number
1327,8
1328,player
1329,world
1330,one
1331,point
1332,father
1333,'s
1334,experiment
1335,prove
1336,female
1337,capable
1338,top
1339,ten
1340,chess
1341,player
1342,list
1343,raise
1344,competitive
1345,chess
1346,mind
1347,believe
1348,judith
1349,polgar
1350,rank
1351,number
1352,8
1353,player
1354,world
1355,one
1356,point
1357,father
1358,'s
1359,experiment
1360,prove
1361,female
1362,capable
1363,top
1364,ten
1365,chess
1366,player
1367,list
1368,raise
1369,competitive
1370,chess
1371,mind
1372,woman
1373,girl
1374,play
1375,chess
1376,least
1377,one
1378,know
1379,play
1380,chess
1381,enjoy
1382,average
1383,playing
1384,strength
1385,female
1386,player
1387,male
1388,counterpart
1389,since
1390,relatively
1391,speak
1392,'s
1393,natural
1394,high
1395,rank
1396,small
1397,subset
1398,player
1399,begin
1400,proportionately
1401,woman
1402,agree
1403,female
1404,genius
1405,less
1406,common
1407,male
1408,genius
1409,technical
1410,field
1411,require
1412,high
1413,iqs
1414,include
1415,chess
1416,natural
1417,top
1418,80
1419,world
1420,rating
1421,men
1422,possible
1423,know
1424,woman
1425,disadvantage
1426,physical
1427,sport
1428,biological
1429,difference
1430,chess
1431,mental
1432,sport
1433,rehash
1434,another
1435,lock
1436,thread
1437,men
1438,“
1439,good
1440,”
1441,think
1442,blue
1443,emu
1444,get
1445,right
1446,women
1447,make
1448,like
1449,2-3
1450,player
1451,course
1452,woman
1453,high
1454,level
1455,top
1456,80
1457,world
1458,rating
1459,men
1460,possible
1461,know
1462,woman
1463,disadvantage
1464,physical
1465,sport
1466,biological
1467,difference
1468,chess
1469,mental
1470,sport
1471,many
1472,men
1473,'better
1474,woman
1475,say
1476,men
1477,good
1478,wasnt
1479,online
1480,forum
1481,id
1482,actually
1483,quite
1484,offend
1485,fact
1486,many
1487,female
1488,obtain
1489,wgm
1490,title
1491,equivalent
1492,male
1493,gm
1494,title
1495,easy
1496,reach
1497,high
1498,level
1499,less
1500,0.1
1501,total
1502,player
1503,get
1504,good
1505,women
1506,good
1507,men
1508,good
1509,judit
1510,polgar
1511,prove
1512,woman
1513,fight
1514,men
1515,equal
1516,term
1517,even
1518,beat
1519,kasparov
1520,say
1521,men
1522,good
1523,wasnt
1524,online
1525,forum
1526,id
1527,actually
1528,quite
1529,offend
1530,fact
1531,many
1532,female
1533,obtain
1534,wgm
1535,title
1536,equivalent
1537,male
1538,gm
1539,title
1540,snip
1541,wgm
1542,even
1543,exist
1544,top
1545,80
1546,world
1547,rating
1548,men
1549,possible
1550,know
1551,woman
1552,disadvantage
1553,physical
1554,sport
1555,biological
1556,difference
1557,chess
1558,mental
1559,sport
1560,top
1561,80
1562,world
1563,rating
1564,men
1565,possible
1566,know
1567,woman
1568,disadvantage
1569,physical
1570,sport
1571,biological
1572,difference
1573,chess
1574,mental
1575,sport
1576,girls
1577,equally
1578,strong
1579,boy
1580,im
1581,say
1582,always
1583,ive
1584,lose
1585,quite
1586,game
1587,girl
1588,school
1589,tournament
1590,watch
1591,alexandra
1592,botez
1593,win
1594,bullet
1595,match
1596,eric
1597,rosen
1598,bullet
1599,chess
1600,quite
1601,physical
1602,type
1603,chess
1604,one
1605,underestimate
1606,course
1607,botez
1608,give
1609,queen
1610,odds
1611,seem
1612,fair
1613,give
1614,shes
1615,200
1616,pt
1617,low
1618,rat
1619,win
1620,match
1621,fair
1622,square
1623,eric
1624,rosen
1625,admit
1626,many
1627,instance
1628,men
1629,lose
1630,woman
1631,everybody
1632,please
1633,stop
1634,sexist
1635,accept
1636,woman
1637,men
1638,equal
1639,matter
1640,discipline
1641,pick
1642,imagine
1643,million
1644,people
1645,tune
1646,watch
1647,official
1648,wc
1649,match
1650,magnus
1651,carlsen
1652,hou
1653,yifan
1654,maybe
1655,could
1656,come
1657,system
1658,give
1659,hou
1660,winning
1661,chance
1662,like
1663,2h
1664,30min
1665,time
1666,odds
1667,magnus
1668,playing
1669,blindfold
1670,nigel
1671,short
1672,bitter
1673,disrespectful
1674,cause
1675,bad
1676,score
1677,female
1678,player
1679,intention
1680,exploit
1681,humanity
1682,ill-gotten
1683,gain
1684,yes
1685,'s
1686,presently
1687,u
1688,r
1689,decent
1690,look
1691,female
1692,u
1693,cud
1694,500
1695,rating
1696,playing
1697,chess
1698,twitch
1699,millionaire
1700,short
1701,order
1702,hi
1703,guy
1704,participate
1705,chess.com
1706,premium
1707,tmt.i
1708,10
1709,min
1710,tmt
1711,server
1712,issue
1713,strike
1714,again.this
1715,kept
1716,happen
1717,throughout
1718,tmt
1719,lose
1720,10
1721,game
1722,bcoz
1723,lag.i
1724,live
1725,stream
1726,event
1727,twitch
1728,channel.i
1729,could
1730,literally
1731,feel
1732,move
1733,piece
1734,difficult.not
1735,also
1736,saw
1737,gm
1738,gukesh
1739,wim
1740,divya
1741,deshmukh
1742,among
1743,many
1744,others
1745,talk
1746,server
1747,issues.secondly
1748,pairing
1749,system
1750,rig
1751,player
1752,get
1753,pair
1754,player
1755,near
1756,rating
1757,only.i
1758,feel
1759,extremely
1760,annoy
1761,sandbagger
1762,easily
1763,win
1764,prize
1765,deserve.if
1766,get
1767,support
1768,forum
1769,create
1770,another
1771,one
1772,file
1773,petition
1774,cancel
1775,tmt.thanks
1776,reading
1777,male
1778,player
1779,get
1780,wcm
1781,title
1782,way
1783,think
1784,fake
1785,check
1786,link
1787,http
1788,//ratings.fide.com/card.phtml
1789,event=10641980
1790,everyone
1791,start
1792,woman
1793,play
1794,like
1795,man
1796,'s
1797,mistake
1798,fact
1799,woman
1800,real
1801,question
1802,he/she
1803,wcm
1804,title
1805,1107
1806,fide
1807,real
1808,question
1809,he/she
1810,wcm
1811,title
1812,1107
1813,fide
1814,real
1815,question
1816,he/she
1817,wcm
1818,title
1819,1107
1820,fide
1821,real
1822,question
1823,he/she
1824,wcm
1825,title
1826,1107
1827,fide
1828,real
1829,question
1830,he/she
1831,wcm
1832,title
1833,1107
1834,fide
1835,research
1836,find
1837,girl
1838,come
1839,first
1840,tournament
1841,get
1842,wfm
1843,title
1844,score
1845,perfect
1846,7/7
1847,n't
1848,think
1849,perfect
1850,score
1851,weak
1852,tournament
1853,get
1854,title
1855,research
1856,find
1857,girl
1858,come
1859,first
1860,tournament
1861,get
1862,wfm
1863,title
1864,score
1865,perfect
1866,7/7
1867,n't
1868,think
1869,perfect
1870,score
1871,weak
1872,tournament
1873,get
1874,title
1875,decent
1876,look
1877,female
1878,strength
1879,twitch
1880,playing
1881,chess
1882,u
1883,cud
1884,make
1885,scientist
1886,make
1887,doctor
1888,lawyer
1889,exploit
1890,numerous
1891,way
1892,maybe
1893,get
1894,lebron
1895,james
1896,salary
1897,decent
1898,look
1899,female
1900,strength
1901,twitch
1902,playing
1903,chess
1904,u
1905,cud
1906,make
1907,scientist
1908,make
1909,doctor
1910,lawyer
1911,exploit
1912,numerous
1913,way
1914,maybe
1915,get
1916,lebron
1917,james
1918,salary
1919,research
1920,find
1921,girl
1922,come
1923,first
1924,tournament
1925,get
1926,wfm
1927,title
1928,score
1929,perfect
1930,7/7
1931,n't
1932,think
1933,perfect
1934,score
1935,weak
1936,tournament
1937,get
1938,title
1939,male
1940,player
1941,get
1942,wcm
1943,title
1944,way
1945,think
1946,fake
1947,check
1948,link
1949,http
1950,//ratings.fide.com/card.phtml
1951,event=10641980
1952,bet
1953,get
1954,girlfriend
1955,yes
1956,realize
1957,lot
1958,cheater
1959,chess
1960,world
1961,site
1962,fair
1963,share
1964,'m
1965,wonder
1966,report
1967,couple
1968,game
1969,think
1970,might
1971,victim
1972,cheater
1973,guy
1974,start
1975,game
1976,sub
1977,700
1978,ranking
1979,daily
1980,chess
1981,bunch
1982,game
1983,complete
1984,proceed
1985,beat
1986,twice
1987,98
1988,accuracy
1989,game
1990,make
1991,one
1992,inaccurate
1993,move
1994,across
1995,two
1996,game
1997,mistake
1998,blunder
1999,either
2000,okay
2001,post
2002,link
2003,game
2004,would
2005,real
2006,ahole
2007,clear
2008,'m
2009,master
2010,'s
2011,possible
2012,play
2013,horrible
2014,game
2015,play
2016,mind
2017,'m
2018,around
2019,1300
2020,guy
2021,gal
2022,think
2023,niece
2024,5
2025,year
2026,old
2027,...
2028,prefer
2029,play
2030,football
2031,far
2032,...
2033,think
2034,'d
2035,great
2036,chess.com
2037,put
2038,together
2039,high-level
2040,real-money
2041,rapid
2042,960
2043,tournament
2044,include
2045,gm
2046,'s
2047,wgm
2048,'s
2049,thoughts
2050,'m
2051,turn
2052,40
2053,couple
2054,month
2055,'ve
2056,never
2057,seriously
2058,studied
2059,chess
2060,play
2061,much
2062,say
2063,start
2064,learn
2065,40+
2066,day
2067,study
2068,wife
2069,kid
2070,humble
2071,disability
2072,pension
2073,keep
2074,home
2075,day
2076,nothing
2077,'ve
2078,hear
2079,take
2080,10-12
2081,good
2082,year
2083,get
2084,level
2085,gm
2086,along
2087,little
2088,luck
2089,say
2090,'m
2091,old
2092,take
2093,16-30
2094,year
2095,daily
2096,practice
2097,devotion
2098,mean
2099,'s
2100,possible.however
2101,apparently
2102,'s
2103,800
2104,million
2105,chess
2106,player
2107,"1,500"
2108,gms
2109,0.3
2110,affiliate
2111,fide
2112,ever
2113,receive
2114,gm
2115,title.how
2116,keep
2117,motivated
2118,past
2119,first
2120,week
2121,month
2122,especially
2123,realize
2124,'ll
2125,probably
2126,never
2127,earn
2128,title
2129,think
2130,advice
2131,tip
2132,good
2133,idea
2134,think
2135,moreover
2136,could
2137,friend
2138,help
2139,provide
2140,money
2141,prize
2142,pool
2143,parameter
2144,include
2145,gm
2146,wgm
2147,entry
2148,fee
2149,play
2150,tournament
2151,arena
2152,group
2153,elimination
2154,round
2155,...
2156,'re
2157,horse
2158,jump
2159,soldier
2160,attack
2161,monarch
2162,beautiful
2163,wife
2164,want
2165,point
2166,back
2167,--
2168,100
2169,point
2170,bonus
2171,also
2172,demand
2173,speak
2174,manager
2175,'re
2176,horse
2177,jump
2178,soldier
2179,attack
2180,monarch
2181,beautiful
2182,wife
2183,want
2184,point
2185,back
2186,--
2187,100
2188,point
2189,bonus
2190,also
2191,demand
2192,speak
2193,manager
2194,maybe
2195,someone
2196,else
2197,explain
2198,lady
2199,anyone
2200,probably
2201,n't
2202,understand
2203,english
2204,try
2205,...
2206,'re
2207,horse
2208,jump
2209,soldier
2210,attack
2211,monarch
2212,beautiful
2213,wife
2214,want
2215,point
2216,back
2217,--
2218,100
2219,point
2220,bonus
2221,also
2222,demand
2223,speak
2224,manager
2225,maybe
2226,someone
2227,else
2228,explain
2229,lady
2230,anyone
2231,probably
2232,n't
2233,understand
2234,english
2235,try
2236,...
2237,episode
2238,monk
2239,famous
2240,chess
2241,player
2242,murder
2243,wife
2244,adrian
2245,catch
2246,killer
2247,use
2248,technique
2249,study
2250,player
2251,instead
2252,game
2253,'s
2254,call
2255,``
2256,mr.
2257,monk
2258,genius
2259,''
2260,sneek
2261,peak
2262,http
2263,//www.youtube.com/watch
2264,v=eocv-bovo0a
2265,t=
2266,video
2267,claim
2268,mikhail
2269,tal
2270,play
2271,cathy
2272,forbes
2273,british
2274,woman
2275,champion
2276,problem
2277,...
2278,n't
2279,cathy
2280,forbes
2281,fact
2282,'s
2283,game
2284,robert
2285,forbis
2286,http
2287,//www.chessgames.com/perl/chessgame
2288,gid=1140969
2289,dude
2290,decide
2291,put
2292,cathy
2293,forbes
2294,video
2295,idea
2296,...
2297,fake
2298,news
2299,two
2300,guy
2301,play
2302,game
2303,texas
2304,hold'em
2305,one
2306,player
2307,giggle
2308,count
2309,hand
2310,guy
2311,asks
2312,``
2313,'s
2314,funny
2315,''
2316,laugh
2317,man
2318,respond
2319,``
2320,'d
2321,bet
2322,daughter
2323,son
2324,hand
2325,''
2326,guy
2327,tell
2328,bluffing
2329,heard
2330,eavesdropping
2331,lady
2332,call
2333,cop
2334,grandmaster
2335,poor
2336,guy
2337,explain
2338,officer
2339,talk
2340,snatch
2341,pawn
2342,local
2343,high
2344,school
2345,must
2346,misheard
2347,shaonihiya
2348,write
2349,victorious
2350,yes
2351,see
2352,recent
2353,game
2354,opponent
2355,wcm
2356,shriyanasmallya
2357,end
2358,good
2359,manage
2360,win
2361,...
2362,wcm
2363,1200
2364,fide
2365,wife
2366,visit
2367,st.
2368,louis
2369,year
2370,back
2371,stop
2372,stlcc
2373,behalf
2374,pair
2375,chess
2376,sock
2377,say
2378,club
2379,really
2380,nice
2381,neighborhood
2382,da
2383,ghetto
2384,growing
2385,first
2386,15
2387,year
2388,life
2389,best
2390,friend
2391,daniel
2392,rensch
2393,use
2394,play
2395,chess
2396,lunch
2397,good
2398,chess
2399,bit
2400,socially
2401,awkward
2402,'s
2403,probably
2404,one
2405,day
2406,ask
2407,tell
2408,girl
2409,angela
2410,like
2411,try
2412,say
2413,like
2414,danny
2415,n't
2416,talk
2417,year
2418,growing
2419,first
2420,15
2421,year
2422,life
2423,best
2424,friend
2425,daniel
2426,rensch
2427,use
2428,play
2429,chess
2430,lunch
2431,good
2432,chess
2433,bit
2434,socially
2435,awkward
2436,'s
2437,probably
2438,one
2439,day
2440,ask
2441,tell
2442,girl
2443,angela
2444,like
2445,try
2446,say
2447,like
2448,danny
2449,n't
2450,talk
2451,year
2452,growing
2453,first
2454,15
2455,year
2456,life
2457,best
2458,friend
2459,daniel
2460,rensch
2461,use
2462,play
2463,chess
2464,lunch
2465,good
2466,chess
2467,bit
2468,socially
2469,awkward
2470,'s
2471,probably
2472,one
2473,day
2474,ask
2475,tell
2476,girl
2477,angela
2478,like
2479,try
2480,say
2481,like
2482,danny
2483,n't
2484,talk
2485,year
2486,kind
2487,point
2488,sake
2489,thirty
2490,second
2491,without
2492,know
2493,reason
2494,exist
2495,beyond
2496,sheer
2497,bafflement
2498,judge
2499,man
2500,woman
2501,bad
2502,sport
2503,seem
2504,heavy
2505,hand
2506,even
2507,authoritarian
2508,repeat
2509,please
2510,let
2511,us
2512,ban
2513,bad
2514,sport
2515,condemnation
2516,bullet
2517,chess
2518,pillow
2519,fight
2520,child
2521,girl
2522,men
2523,play
2524,rapid
2525,blitz
2526,suggest
2527,chess
2528,format
2529,tiebreaker
2530,game
2531,blitz
2532,2000
2533,u
2534,mother
2535,f
2536,say
2537,mother
2538,f
2539,4
2540,year
2541,mother
2542,f
2543,mean
2544,32
2545,year
2546,2800
2547,jajajaja
2548,even
2549,twitch
2550,chess.com
2551,pogchamp
2552,tournament
2553,chat
